tool_number,capability,standalone_source,existing_equivalent,classification,overlap_status,target_production_module,target_api_route,database_entities,background_job,frontend_area,dependencies,integration_status
101,Time Series Trend Seasonality Analyzer,tool101_time_series_trend_seasonality_analyzer.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/trend_seasonality,AnalysisRun; Artifact; AutomationRun,optional,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
102,Time Series Decomposition Engine,tool102_time_series_decomposition_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/decomposition,AnalysisRun; Artifact; AutomationRun,optional,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
103,Stationarity Testing Engine,tool103_stationarity_testing_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/stationarity,AnalysisRun; Artifact; AutomationRun,optional,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
104,Time Series Differencing Transformation Engine,tool104_time_series_differencing_transformation_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/transform,AnalysisRun; Artifact; AutomationRun,optional,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
105,Acf Pacf Diagnostic Engine,tool105_acf_pacf_diagnostic_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/acf_pacf,AnalysisRun; Artifact; AutomationRun,optional,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
106,Exponential Smoothing Forecasting Engine,tool106_exponential_smoothing_forecasting_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/exponential_smoothing,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
107,Arima Forecasting Engine,tool107_arima_forecasting_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/arima,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
108,Sarima Forecasting Engine,tool108_sarima_forecasting_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/sarima,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
109,Forecast Evaluation Engine,tool109_forecast_evaluation_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/evaluate,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
110,Time Series Train Test Split Engine,tool110_time_series_train_test_split_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/split,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
111,Walk Forward Backtesting Engine,tool111_walk_forward_backtesting_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/backtest,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
112,Forecast Model Comparison Engine,tool112_forecast_model_comparison_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/compare,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
113,Forecast Prediction Interval Engine,tool113_forecast_prediction_interval_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/prediction_intervals,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
114,Automatic Forecast Model Selector,tool114_automatic_forecast_model_selector.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/auto_select,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
115,Forecast Scenario Engine,tool115_forecast_scenario_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/scenario,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
116,Forecast Accuracy Monitoring Engine,tool116_forecast_accuracy_monitoring_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/accuracy_monitoring,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
117,Forecast Bias Drift Detection Engine,tool117_forecast_bias_drift_detection_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/bias_drift,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
118,Forecast Reconciliation Engine,tool118_forecast_reconciliation_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/reconciliation,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
