date,category,merchant,amount,payment_method
2025-01-01,Housing,Rent,216.19,Card
2025-01-02,Food,Market,191.57,UPI
2025-01-03,Transport,Metro,157.02,Cash
2025-01-04,Subscriptions,Streaming,165.63,Card
2025-01-05,Housing,Rent,64.03,UPI
2025-01-06,Food,Market,204.05,Cash
2025-01-07,Transport,Metro,84.89,Card
2025-01-08,Subscriptions,Streaming,50.86,UPI
2025-01-09,Housing,Rent,160.23,Cash
2025-01-10,Food,Market,148.7,Card
2025-01-11,Transport,Metro,175.98,UPI
2025-01-12,Subscriptions,Streaming,54.48,Cash
2025-01-13,Housing,Rent,38.98,Card
2025-01-14,Food,Market,157.05,UPI
2025-01-15,Transport,Metro,182.98,Cash
2025-01-16,Subscriptions,Streaming,48.56,Card
2025-01-17,Housing,Rent,79.55,UPI
2025-01-18,Food,Market,82.06,Cash
2025-01-19,Transport,Metro,31.14,Card
2025-01-20,Subscriptions,Streaming,215.85,UPI
2025-01-21,Housing,Rent,17.58,Cash
2025-01-22,Food,Market,80.06,Card
2025-01-23,Transport,Metro,138.92,UPI
2025-01-24,Subscriptions,Streaming,132.48,Cash
2025-01-25,Housing,Rent,24.61,Card
2025-01-26,Food,Market,140.25,UPI
2025-01-27,Transport,Metro,218.33,Cash
2025-01-28,Subscriptions,Streaming,23.19,Card
2025-01-29,Housing,Rent,164.35,UPI
2025-01-30,Food,Market,166.39,Cash
2025-01-31,Transport,Metro,75.52,Card
2025-02-01,Subscriptions,Streaming,66.97,UPI
2025-02-02,Housing,Rent,96.33,Cash
2025-02-03,Food,Market,179.66,Card
2025-02-04,Transport,Metro,92.28,UPI
2025-02-05,Subscriptions,Streaming,25.61,Cash
2025-02-06,Housing,Rent,89.48,Card
2025-02-07,Food,Market,174.02,UPI
2025-02-08,Transport,Metro,69.99,Cash
2025-02-09,Subscriptions,Streaming,145.56,Card
2025-02-10,Housing,Rent,191.94,UPI
2025-02-11,Food,Market,129.49,Cash
2025-02-12,Transport,Metro,194.64,Card
2025-02-13,Subscriptions,Streaming,34.16,UPI
2025-02-14,Housing,Rent,123.91,Cash
2025-02-15,Food,Market,88.6,Card
2025-02-16,Transport,Metro,114.81,UPI
2025-02-17,Subscriptions,Streaming,69.17,Cash
